participant_number,group,cq_1_h,cq_2_s_f,tn_products,n_categories,k_p_1,k_p_2,k_p_3,k_p_4,k_p_5,k_p_6,k_p_7,k_p_8,t_t_condition,t_t_A_1,t_t_A_2,t_t_A_3,t_t_A_4,t_t_A_5,t_t_A_w_p,t_t_B_1,t_t_B_2,t_t_B_3,t_t_B_4,t_t_B_5,t_t_B_w_p,t_t_d,m_q_1,m_q_2,s_s_d,s_t_d,gender,age,f_o_s,n_o_t,n_l,m_k,filter,distance_MC,kimchi_glob1,kimchi_glob2,kimchi_glob3,kimchi_glob4,kimchi_glob5,kimchi_glob6,kimchi_glob7,kimchi_glob8,kimchi_sum,toaster_a_evaluation,toaster_b_evaluation,toaster_diff_WTP,toaster45_rating1,toaster25_rating1,toaster45_rating2,toaster45_rating3,toaster45_rating4,toaster45_rating5,toaster25_rating2,toaster25_rating3,toaster25_rating4,toaster25_rating5,toaster45_mean,toaster25_mean,toaster_45_wtp,toaster_25_wtp,choice_toaster,diff_toaster
81,2,3,2,4,8,1,1,1,1,1,1,1,1,2,5,5,4,4,5,50,3,3,4,4,2,30,1,6,2,4,4,1,21,1,4,2,1,1,4,1,1,1,1,1,1,1,1,8,4.6,3.2,-20,3,5,3,4,4,2,5,4,4,5,3.2,4.6,30,50,2,-1.4
82,2,2,4,6,7,2,2,2,2,2,2,1,1,1,4,4,3,4,3,30,6,5,5,5,5,40,2,5,3,2,2,2,23,1,6,2,2,1,2,0,0,0,0,0,0,1,1,2,3.6,5.2,10,6,4,5,5,5,5,4,3,4,3,5.2,3.6,40,30,1,1.6
83,3,2,3,8,10,1,2,1,1,1,1,1,1,3,5,6,6,5,6,30,3,3,3,3,4,20,1,5,4,2,2,1,28,1,6,1,1,1,2,1,0,1,1,1,1,1,1,7,5.6,3.2,10,5,3,6,6,5,6,3,3,3,4,5.6,3.2,30,20,1,2.4
84,5,1,6,6,6,1,1,1,1,1,1,1,1,3,6,6,5,5,6,25,3,2,3,3,2,15,1,6,2,2,3,1,22,1,4,1,2,1,2.5,1,1,1,1,1,1,1,1,8,5.6,2.6,10,6,3,6,5,5,6,2,3,3,2,5.6,2.6,25,15,1,3
85,2,1,5,9,8,1,1,1,1,1,2,2,1,1,7,7,7,6,6,40,3,4,4,3,4,25,1,7,2,1,1,2,18,1,2,1,2,1,1,1,1,1,1,1,0,0,1,6,6.6,3.6,-15,3,7,4,4,3,4,7,7,6,6,3.6,6.6,25,40,2,-3
86,3,2,4,9,7,2,1,2,1,1,1,2,1,4,5,5,5,4,5,20,3,3,4,4,4,13,1,6,2,4,3,2,20,1,4,1,2,1,3.5,0,1,0,1,1,1,0,1,5,4.8,3.6,7,5,3,5,5,4,5,3,4,4,4,4.8,3.6,20,13,1,1.2
87,4,1,5,14,10,1,1,1,1,1,1,1,1,3,2,1,1,1,2,5,5,5,6,4,5,40,2,6,1,3,3,2,22,2,8,1,2,1,3,1,1,1,1,1,1,1,1,8,1.4,5,-35,2,5,1,1,1,2,5,6,4,5,1.4,5,5,40,2,-3.6
88,1,3,5,10,5,1,1,1,1,1,1,1,1,3,2,2,3,3,3,20,5,4,3,3,3,20,2,4,4,4,3,2,21,1,4,1,2,1,3.5,1,1,1,1,1,1,1,1,8,2.6,3.6,0,2,5,2,3,3,3,4,3,3,3,2.6,3.6,20,20,2,-1
89,3,2,5,9,6,1,1,1,1,1,1,1,1,1,7,6,6,5,5,50,3,3,3,4,4,50,1,5,2,4,1,1,22,1,4,1,3,1,2.5,1,1,1,1,1,1,1,1,8,5.8,3.4,0,3,7,3,3,4,4,6,6,5,5,3.4,5.8,50,50,2,-2.4
90,3,1,4,8,9,1,1,1,1,1,1,1,1,3,2,2,3,3,3,20,3,3,3,4,3,20,2,7,1,2,2,2,21,1,4,1,2,1,2,1,1,1,1,1,1,1,1,8,2.6,3.2,0,2,3,2,3,3,3,3,3,4,3,2.6,3.2,20,20,2,-0.6
91,4,4,5,10,5,2,1,2,1,2,2,1,1,2,2,3,4,3,3,20,3,3,4,3,4,25,2,4,4,3,6,1,22,1,4,1,1,1,4.5,0,1,0,1,0,0,1,1,4,3,3.4,5,3,2,3,4,3,4,3,4,3,3,3.4,3,25,20,1,0.4
92,2,5,6,15,8,1,1,1,1,1,1,1,1,3,6,5,5,5,5,30,6,6,5,5,5,30,2,5,6,4,4,2,17,3,0,1,2,1,4,1,1,1,1,1,1,1,1,8,5.2,5.4,0,6,6,5,5,5,5,6,5,5,5,5.2,5.4,30,30,2,-0.2
93,4,1,6,14,8,2,2,1,2,1,2,1,1,1,7,5,5,6,6,30,1,1,1,1,2,0,1,7,1,2,2,2,48,1,8,1,1,1,2,0,0,1,0,1,0,1,1,4,5.8,1.2,-30,1,7,1,1,1,2,5,5,6,6,1.2,5.8,0,30,2,-4.6
94,3,3,5,10,6,1,1,1,1,1,1,1,1,1,2,1,2,3,3,15,6,6,5,4,6,20,2,6,2,1,2,1,23,1,6,1,1,1,1.5,1,1,1,1,1,1,1,1,8,2.2,5.4,5,6,2,6,5,4,6,1,2,3,3,5.4,2.2,20,15,1,3.2
95,3,2,5,9,7,1,1,1,1,1,1,1,1,4,1,1,4,3,2,15,6,6,6,6,6,40,2,5,5,1,1,2,21,1,4,1,2,1,1,1,1,1,1,1,1,1,1,8,2.2,6,-25,1,6,1,4,3,2,6,6,6,6,2.2,6,15,40,2,-3.8
96,5,5,6,13,7,1,1,1,1,1,1,1,1,3,1,1,3,2,2,666,5,6,6,6,6,30,2,6,3,5,3,2,20,1,3,1,1,0,4,1,1,1,1,1,1,1,1,8,1.8,5.8,,1,5,1,3,2,2,6,6,6,6,1.8,5.8,,30,2,-4
97,5,3,2,9,6,1,1,1,1,1,1,1,1,1,2,2,4,3,3,15,6,6,6,6,7,30,2,6,2,7,3,2,20,1,4,1,2,1,5,1,1,1,1,1,1,1,1,8,2.8,6.2,15,6,2,6,6,6,7,2,4,3,3,6.2,2.8,30,15,1,3.4
98,3,1,6,11,8,1,1,1,1,1,1,1,1,3,7,7,7,7,7,30,3,3,4,3,4,20,1,6,2,1,2,2,22,1,6,1,1,1,1.5,1,1,1,1,1,1,1,1,8,7,3.4,10,7,3,7,7,7,7,3,4,3,4,7,3.4,30,20,1,3.6
99,4,3,5,19,7,2,1,2,1,2,1,2,1,1,4,5,4,4,5,10,5,4,5,5,5,15,2,5,2,3,2,2,22,1,6,1,2,1,2.5,0,1,0,1,0,1,0,1,4,4.4,4.8,5,5,4,4,5,5,5,5,4,4,5,4.8,4.4,15,10,1,0.4
100,5,1,6,6,7,1,1,1,1,1,1,1,1,1,3,2,2,2,4,10,5,5,4,4,6,15,2,5,3,3,4,2,23,2,6,1,2,1,3.5,1,1,1,1,1,1,1,1,8,2.6,4.8,5,5,3,5,4,4,6,2,2,2,4,4.8,2.6,15,10,1,2.2
