participant_number,group,cq_1_h,cq_2_s_f,tn_products,n_categories,k_p_1,k_p_2,k_p_3,k_p_4,k_p_5,k_p_6,k_p_7,k_p_8,t_t_condition,t_t_A_1,t_t_A_2,t_t_A_3,t_t_A_4,t_t_A_5,t_t_A_w_p,t_t_B_1,t_t_B_2,t_t_B_3,t_t_B_4,t_t_B_5,t_t_B_w_p,t_t_d,m_q_1,m_q_2,s_s_d,s_t_d,gender,age,f_o_s,n_o_t,n_l,m_k,filter,distance_MC,kimchi_glob1,kimchi_glob2,kimchi_glob3,kimchi_glob4,kimchi_glob5,kimchi_glob6,kimchi_glob7,kimchi_glob8,kimchi_sum,toaster_a_evaluation,toaster_b_evaluation,toaster_diff_WTP,toaster45_rating1,toaster25_rating1,toaster45_rating2,toaster45_rating3,toaster45_rating4,toaster45_rating5,toaster25_rating2,toaster25_rating3,toaster25_rating4,toaster25_rating5,toaster45_mean,toaster25_mean,toaster_45_wtp,toaster_25_wtp,choice_toaster,diff_toaster
26,4,3,5,9,8,1,1,1,1,1,1,1,1,4,6,6,6,6,6,50,5,4,4,3,4,30,1,6,2,4,4,2,21,1,4,1,2,1,4,1,1,1,1,1,1,1,1,8,6,4,20,6,5,6,6,6,6,4,4,3,4,6,4,50,30,1,2
27,1,2,5,22,10,1,1,1,1,1,1,1,1,2,5,5,5,5,5,40,4,4,4,4,4,30,1,6,2,4,5,2,21,1,6,1,2,1,4.5,1,1,1,1,1,1,1,1,8,5,4,-10,4,5,4,4,4,4,5,5,5,5,4,5,30,40,2,-1
28,3,6,6,9,7,2,1,2,1,1,2,1,1,4,6,5,5,5,6,666,2,2,3,3,2,12,1,7,1,2,4,2,21,1,4,1,2,1,3,0,1,0,1,1,0,1,1,5,5.4,2.4,,6,2,5,5,5,6,2,3,3,2,5.4,2.4,,12,1,3
29,1,1,5,25,12,2,2,1,1,2,1,1,1,2,6,5,5,5,5,35,3,3,3,3,3,12.99,1,6,6,2,2,2,25,1,8,1,2,1,2,0,0,1,1,0,1,1,1,5,5.2,3,-22.01,3,6,3,3,3,3,5,5,5,5,3,5.2,12.99,35,2,-2.2
30,1,1,5,9,7,2,2,2,1,2,2,2,1,1,7,7,5,5,6,20,1,1,4,3,4,8,1,7,2,3,4,2,20,1,4,1,2,1,3.5,0,0,0,1,0,0,0,1,2,6,2.6,-12,1,7,1,4,3,4,7,5,5,6,2.6,6,8,20,2,-3.4
31,3,3,4,4,8,1,1,1,1,1,2,1,2,4,6,5,6,2,5,25,2,2,3,2,2,15,1,3,2,1,1,2,23,1,6,1,2,1,1,1,1,1,1,1,0,1,0,6,4.8,2.2,10,6,2,5,6,2,5,2,3,2,2,4.8,2.2,25,15,1,2.6
32,5,6,5,10,8,1,1,1,1,1,1,1,1,2,2,2,2,1,2,20,5,4,4,3,4,35,2,6,3,3,3,2,24,1,6,1,2,1,3,1,1,1,1,1,1,1,1,8,1.8,4,15,5,2,4,4,3,4,2,2,1,2,4,1.8,35,20,1,2.2
33,5,6,5,9,8,1,1,1,1,1,1,1,1,4,5,5,4,4,5,25,4,3,3,3,4,20,1,6,2,6,6,2,22,1,6,1,1,1,6,1,1,1,1,1,1,1,1,8,4.6,3.4,5,5,4,5,4,4,5,3,3,3,4,4.6,3.4,25,20,1,1.2
34,2,5,6,9,8,1,1,1,1,1,1,1,1,4,5,3,4,4,3,10,6,5,4,4,4,10,2,7,3,5,4,2,23,1,4,1,2,1,4.5,1,1,1,1,1,1,1,1,8,3.8,4.6,0,5,6,3,4,4,3,5,4,4,4,3.8,4.6,10,10,2,-0.8
35,5,5,6,7,7,1,1,1,1,1,1,1,1,4,5,4,5,3,5,25,3,2,3,3,2,15,1,5,2,5,6,1,22,1,4,1,2,1,5.5,1,1,1,1,1,1,1,1,8,4.4,2.6,10,5,3,4,5,3,5,2,3,3,2,4.4,2.6,25,15,1,1.8
