"假设","BF10","后验效应量_均值","后验效应量_SD","HDI_lower_95","HDI_upper_95","原始均值差_均值","原始均值差_HDI_lower","原始均值差_HDI_upper"
"类别广度",7.29,0.83,0.35,0.16,1.53,7.27,6.82,7.72
"整体偏好",5.46,-0.78,0.34,-1.48,-0.15,6.96,6.45,7.48
