"","n_categories","kimchi_sum","diff_toaster"
"n_categories",1,-0.137905342698995,-0.0889146659991021
"kimchi_sum",-0.137905342698995,1,0.194371450209792
"diff_toaster",-0.0889146659991021,0.194371450209792,1
