"条件","信息类型","原均值","本均值","PE均值","评级均值","原标准差","本标准差值","PE标准差","评级标准差"
"Concrete","Aggregated",3.77,3.77,0,"完全一致",1.36,1.35999226003989,0,"次要偏差"
"Concrete","Individualized",4.33,4.33,0,"完全一致",1.41,1.40865744220292,0.1,"次要偏差"
"Abstract","Aggregated",5.14,5.1375,0.05,"次要偏差",0.72,0.718215380880508,0.25,"次要偏差"
"Abstract","Individualized",2.98,2.975,0.17,"次要偏差",0.79,0.789514618821801,0.06,"次要偏差"
