"","n_categories","kimchi_sum","diff_toaster"
"n_categories",0,0.182624226393739,0.391522751058768
"kimchi_sum",0.182624226393739,0,0.0590981671160931
"diff_toaster",0.391522751058768,0.0590981671160931,0
