"condition","N","Cat_Mean","Cat_SD","Glob_Mean","Glob_SD","Agg_Eval_Mean","Agg_Eval_SD","Ind_Eval_Mean","Ind_Eval_SD"
"Concrete",20,7.9,1.5183093090325,6.25,1.86024899295483,3.77,1.35999226003989,4.33,1.40865744220292
"Reverberation",19,6.84210526315789,1.67541563316678,7.31578947368421,1.52943822580375,4.58947368421053,1.02518005835404,4.35789473684211,1.33096280500399
"C-F#",20,7.45,1.39453821823042,7.05,1.356271980176,4.41,1.5927136723546,4.11,1.27068154112168
"Nonsegmentation",20,7.45,1.23437604097225,6.55,1.8771478925557,4.14,1.63655607587204,3.98,1.15330189593094
"Abstract",16,6.625,0.957427107756338,7.6875,1.01447851956888,5.1375,0.718215380880508,2.975,0.789514618821801
